identifier,best_affinity_kcal_mol,runtime_seconds
CNP0470505.0,-6.045,8.8
CNP0471385.3,-5.003,12.0
CNP0471405.1,-4.642,11.9
CNP0471652.0,-6.719,42.2
CNP0472359.1,-6.145,57.1
CNP0473943.1,-7.466,235.2
CNP0475234.1,-6.782,30.6
CNP0475545.0,-4.011,60.4
CNP0475646.1,-7.507,112.1
CNP0477351.1,-4.683,11.0
CNP0478004.1,-5.789,80.9
CNP0478794.1,-6.08,101.2
CNP0478949.0,-7.694,45.3
CNP0479057.0,-4.526,28.5
CNP0479615.1,-4.452,13.6
CNP0479694.1,-7.107,39.2
CNP0481338.0,-6.228,51.0
CNP0482120.0,-3.204,3.7
CNP0482924.1,-6.599,37.1
CNP0482940.0,-3.73,6.5
CNP0483210.0,-7.076,38.2
CNP0483698.0,-5.839,67.7
CNP0483734.3,-5.0,71.3
CNP0484036.0,-7.337,22.2
CNP0484133.0,-5.546,8.2
CNP0486200.0,-4.759,6.3
CNP0487793.1,-5.117,30.0
CNP0488531.1,-6.761,31.4
CNP0489126.1,-8.643,51.7
CNP0490192.1,-6.459,52.4
CNP0490876.1,-6.829,80.6
CNP0491827.0,-7.294,50.4
CNP0491966.1,-7.794,69.5
CNP0494059.1,-6.524,151.8
CNP0494468.0,-3.659,12.7
CNP0494509.0,-5.619,16.9
CNP0496599.1,-5.842,51.1
CNP0496915.0,-6.103,29.4
CNP0497206.1,-6.602,86.1
CNP0497449.1,-5.623,19.0
CNP0499309.0,-5.825,29.2
CNP0499544.0,-4.081,37.0
CNP0499736.1,-7.466,12.5
CNP0501171.1,-6.309,23.9
CNP0501212.0,-6.869,18.2
CNP0502469.1,-6.229,13.6
CNP0502952.1,-7.932,71.1
CNP0503975.1,-6.066,26.0
CNP0504897.0,-5.874,82.0
CNP0506214.1,-5.537,41.9
CNP0506349.1,-4.35,21.2
CNP0506633.0,-6.908,28.9
CNP0506779.0,-5.645,40.8
CNP0507990.1,-4.264,6.9
CNP0508235.0,-5.858,55.0
CNP0508687.2,-4.242,4.5
CNP0508915.1,-6.66,52.4
CNP0509222.0,-6.226,109.1
CNP0509930.0,-3.458,18.0
CNP0510172.1,-6.823,138.5
CNP0511550.1,-6.403,31.9
CNP0513042.0,-4.638,10.8
CNP0514329.0,-6.887,31.8
CNP0515136.1,-5.515,33.2
CNP0515354.1,-5.586,61.4
CNP0515594.1,-6.522,201.5
CNP0515695.0,-6.719,110.4
CNP0517048.1,-5.862,20.7
CNP0517422.0,-4.931,15.6
CNP0517718.0,-7.283,43.7
CNP0518270.0,-3.692,4.2
CNP0518608.1,-6.605,48.3
CNP0519603.1,-4.948,74.9
CNP0519672.1,-7.458,27.8
CNP0520965.1,-6.786,80.2
CNP0521905.0,-7.192,27.2
CNP0522228.0,-6.224,6.9
CNP0522262.0,-4.646,17.3
CNP0523570.0,-4.847,8.8
CNP0524315.0,-6.415,12.9
CNP0524390.1,-5.7,9.3
CNP0524412.0,-6.619,43.5
CNP0524964.1,-6.791,17.8
CNP0525519.0,-5.139,16.9
CNP0526097.1,-5.511,113.2
CNP0526147.0,-5.35,7.5
CNP0526346.1,-6.833,135.1
CNP0526383.0,-7.033,104.0
CNP0526504.1,-8.578,67.9
CNP0526610.1,-6.677,107.5
CNP0527181.1,-6.988,138.3
CNP0528081.1,-6.421,18.5
CNP0528286.0,-5.449,15.8
CNP0528647.1,-6.216,35.0
CNP0528981.1,-6.73,94.5
CNP0529226.0,-3.951,5.4
CNP0530048.0,-7.33,85.6
CNP0530580.1,-6.752,129.5
CNP0531833.0,-5.768,51.2
CNP0531900.0,-8.303,26.1
CNP0531965.1,-7.886,27.6
CNP0532021.1,-5.421,15.6
CNP0532176.0,-5.948,100.5
CNP0532182.1,-6.222,83.3
CNP0533313.0,-4.379,7.4
CNP0534663.0,-5.177,7.3
CNP0535460.1,-5.896,26.6
CNP0536076.1,-6.736,13.1
CNP0536557.1,-8.064,29.3
CNP0537224.1,-6.655,82.3
CNP0537591.1,-6.732,62.9
CNP0538327.0,-8.055,178.7
CNP0538532.0,-4.877,9.2
CNP0538535.0,-6.623,12.7
CNP0539396.1,-7.79,28.5
CNP0539879.1,-6.688,40.1
CNP0540149.1,-5.938,61.0
CNP0540370.1,-5.893,10.3
CNP0540432.1,-6.75,33.3
CNP0540443.0,-5.637,9.5
CNP0540499.0,-6.641,21.8
CNP0540798.0,-6.466,30.9
CNP0541308.0,-6.15,37.2
CNP0541829.0,-4.47,13.8
CNP0542242.0,-4.844,6.5
CNP0542401.0,-6.941,93.4
CNP0545853.1,-6.549,62.9
CNP0546206.1,-5.991,13.7
CNP0546261.0,-5.055,15.8
CNP0546316.0,-4.576,9.5
CNP0546580.1,-4.782,7.4
CNP0546613.1,-5.309,18.7
CNP0546856.1,-5.197,42.7
CNP0546987.1,-4.725,32.9
CNP0547341.0,-5.216,13.0
CNP0548922.0,-6.808,34.9
