identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0572548.1,C[C@@H]1C[N@@+]23C[C@@]45CCC[C@H]4[C@@]4(CCC(=O)[O-])[C@@H]2[C@@H]1CC[C@@]4(C)[C@]3(O)CC5,359.51,2.05,60.36,3,3,1,0,0.78,Pseudoalkaloids,Alkaloids,False,-5.878,-8.884,192724,-0.43890357,6.29652,-7.381,26,0.2260769230769231,0.3416923076923077,0.2838846153846154
CNP0479615.1,CC(C)=C(/C=C/C(C)O)C(C)C,168.28,2.92,20.23,3,1,1,0,0.64,Monoterpenoids,Terpenoids,False,-4.452,-5.917,263472,2.4385228,4.108715,-5.1845,12,0.371,0.4930833333333333,0.43204166666666666
CNP0591419.1,CO[C@@H]1/C(=N/O)C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CN=C(O)C4=C4C5=CC=CC=C5N2C4=C31,466.5,5.17,93.5,1,7,2,1,0.26,Tryptophan alkaloids,Alkaloids,False,-7.202,-8.981,74518,4.4183855,7.446322,-8.0915,35,0.20577142857142858,0.2566,0.23118571428571427
CNP0328307.1,CC1=CC=C(CN2C(=O)[C@@H]3C[C@@H](O)CN3C3(CN(CC4=CC=CC=C4Cl)C3)C2=O)O1,429.9,1.8,77.23,4,6,1,0,0.75,Ornithine alkaloids,Alkaloids,False,-6.776,-9.36,155226,3.024532,6.12943,-8.068,30,0.22586666666666666,0.312,0.26893333333333336
CNP0472359.1,C#CCN(C)C(=O)C[C@@H]1CCNC[C@@H]1CC1=NOC(C(C)=O)=C1,317.39,1.13,75.44,6,5,1,0,0.63,Lysine alkaloids,Alkaloids,False,-6.145,-7.161,207066,2.6473134,5.6067433,-6.653,23,0.26717391304347826,0.3113478260869565,0.28926086956521735
CNP0262082.0,OC1=CC=C2C=C1OC1=CC=C(C=C1)CCC1=CC=CC(=C1)OC1=C(O)C=CC=C1CC2,424.5,6.57,58.92,0,4,2,1,0.34,Flavonoids,Flavonoids,False,-7.409,-8.828,56463,2.6808834,7.167681,-8.1185,32,0.23153125,0.275875,0.253703125
CNP0386303.1,O/N=C(/CC1=CC=CC=C1F)C1=CC=C(O)C=C1O,261.25,2.66,73.05,3,4,3,0,0.45,Flavonoids,Flavonoids,False,-5.932,-7.345,73925,3.8548577,7.0297256,-6.6385000000000005,19,0.3122105263157895,0.386578947368421,0.34939473684210526
CNP0574040.0,CCOC1=CC2=C(C=C1OCC)C1=CC3=CC(O)=C(OCC)C(OCC)=C3C=[N+]1CC2,424.52,4.65,61.03,8,5,1,0,0.53,Tyrosine alkaloids,Alkaloids,False,-6.018,-7.28,248513,3.033348,7.253237,-6.649,31,0.19412903225806452,0.23483870967741935,0.21448387096774194
CNP0418506.0,NC1=CC2=NC3=C(C=C2C=C1C=O)CCCC3,226.28,2.51,55.98,1,3,1,0,0.6,Anthranilic acid alkaloids,Alkaloids,False,-6.186,-7.432,34541,4.5644197,6.2466464,-6.809,17,0.3638823529411765,0.43717647058823533,0.4005294117647059
CNP0610247.0,CN=C1N=C2C(=CC=C3NC(=N)NC3=C2C)N1,228.26,0.64,96.47,0,3,4,0,0.45,Pseudoalkaloids,Alkaloids,False,-6.509,-7.345,41166,4.779938,5.1851096,-6.927,17,0.3828823529411765,0.4320588235294118,0.40747058823529414
